ccode,scode,country,year,scoup1,atcoup2,pcoup3,apcoup4,agcoup,foroutex,reboutex,assassex,resignex
700,AFG,Afghanistan,1948,0,0,0,0,0,0,0,0,0
339,ALB,Albania,1948,0,0,0,0,0,0,0,0,0
160,ARG,Argentina,1948,0,0,0,0,0,0,0,0,0
900,AUL,Australia,1948,0,0,0,0,0,0,0,0,0
305,AUS,Austria,1948,0,0,0,0,0,0,0,0,0
211,BEL,Belgium,1948,0,0,0,0,0,0,0,0,0
760,BHU,Bhutan,1948,0,0,0,0,0,0,0,0,0
145,BOL,Bolivia,1948,0,0,0,0,0,0,0,0,0
140,BRA,Brazil,1948,0,0,0,0,0,0,0,0,0
355,BUL,Bulgaria,1948,0,0,0,0,0,0,0,0,0
20,CAN,Canada,1948,0,0,0,0,0,0,0,0,0
155,CHL,Chile,1948,0,0,1,0,0,0,0,0,0
710,CHN,China,1948,0,0,0,0,0,0,0,0,0
100,COL,Colombia,1948,0,0,0,0,0,0,0,0,0
94,COS,Costa Rica,1948,0,1,0,0,0,0,0,0,0
40,CUB,Cuba,1948,0,0,0,0,0,0,0,0,0
315,CZE,Czechoslovakia,1948,1,0,0,1,0,0,0,0,0
390,DEN,Denmark,1948,0,0,0,0,0,0,0,0,0
42,DOM,Dominican Republic,1948,0,0,0,0,0,0,0,0,0
130,ECU,Ecuador,1948,0,0,0,0,0,0,0,0,0
651,EGY,Egypt,1948,0,0,0,0,0,0,0,0,0
530,ETH,Ethiopia,1948,0,0,0,0,0,0,0,0,0
375,FIN,Finland,1948,0,0,0,0,0,0,0,0,0
220,FRN,France,1948,0,0,0,0,0,0,0,0,0
265,GDR,Germany East,1948,0,0,0,0,0,0,0,0,0
260,GFR,Germany West,1948,0,0,0,0,0,0,0,0,0
350,GRC,Greece,1948,0,0,0,0,0,0,0,0,0
90,GUA,Guatemala,1948,0,0,0,0,0,0,0,0,0
41,HAI,Haiti,1948,0,0,0,0,0,0,0,0,0
91,HON,Honduras,1948,0,0,0,0,0,0,0,0,0
310,HUN,Hungary,1948,0,0,0,0,0,0,0,0,0
850,INS,Indonesia,1948,0,0,0,0,0,0,0,0,0
205,IRE,Ireland,1948,0,0,0,0,0,0,0,0,0
630,IRN,Iran,1948,0,0,0,0,0,0,0,0,0
645,IRQ,Iraq,1948,0,0,0,0,0,0,0,0,0
666,ISR,Israel,1948,0,0,0,0,0,0,0,0,0
325,ITA,Italy,1948,0,0,0,0,0,0,0,0,0
663,JOR,Jordan,1948,0,0,0,0,0,0,0,0,0
740,JPN,Japan,1948,0,0,0,0,0,0,0,0,0
450,LBR,Liberia,1948,0,0,0,0,0,0,0,0,0
660,LEB,Lebanon,1948,0,0,0,0,0,0,0,0,0
212,LUX,Luxembourg,1948,0,0,0,0,0,0,0,0,0
70,MEX,Mexico,1948,0,0,0,0,0,0,0,0,0
712,MON,Mongolia,1948,0,0,0,0,0,0,0,0,0
775,MYA,Myanmar (Burma),1948,0,1,0,0,0,0,0,0,0
790,NEP,Nepal,1948,0,0,0,0,0,0,0,0,0
920,NEW,New Zealand,1948,0,0,0,0,0,0,0,0,0
93,NIC,Nicaragua,1948,0,0,0,0,0,0,0,0,0
385,NOR,Norway,1948,0,0,0,0,0,0,0,0,0
210,NTH,Netherlands,1948,0,0,0,0,0,0,0,0,0
698,OMA,Oman,1948,0,0,0,0,0,0,0,0,0
95,PAN,Panama,1948,0,0,0,0,0,0,0,0,0
150,PAR,Paraguay,1948,2,1,0,1,0,0,0,0,0
135,PER,Peru,1948,1,1,0,0,0,0,0,0,0
840,PHI,Philippines,1948,0,0,0,1,0,0,0,0,0
769,PKS,Pakistan,1948,0,0,0,0,0,0,0,0,0
290,POL,Poland,1948,0,0,0,0,0,0,0,0,0
235,POR,Portugal,1948,0,0,0,0,0,0,0,0,0
731,PRK,Korea North,1948,0,0,0,0,0,0,0,0,0
732,ROK,Korea South,1948,0,0,0,0,0,0,0,0,0
360,RUM,Romania,1948,0,0,0,0,0,0,0,0,0
560,SAF,South Africa,1948,0,0,0,0,0,0,0,0,0
92,SAL,El Salvador,1948,1,0,0,0,0,0,0,0,0
670,SAU,Saudi Arabia,1948,0,0,0,0,0,0,0,0,0
230,SPN,Spain,1948,0,0,0,0,0,0,0,0,0
780,SRI,Sri Lanka,1948,0,0,0,0,0,0,0,0,0
380,SWD,Sweden,1948,0,0,0,0,0,0,0,0,0
225,SWZ,Switzerland,1948,0,0,0,0,0,0,0,0,0
652,SYR,Syria,1948,0,0,0,0,0,0,0,0,0
800,THI,Thailand,1948,0,0,1,0,0,0,0,0,0
640,TUR,Turkey,1948,0,0,0,0,0,0,0,0,0
200,UKG,United Kingdom,1948,0,0,0,0,0,0,0,0,0
165,URU,Uruguay,1948,0,0,0,0,0,0,0,0,0
2,USA,United States,1948,0,0,1,0,0,0,0,0,0
364,USR,USSR,1948,0,0,0,0,0,0,0,0,0
101,VEN,Venezuela,1948,1,0,0,0,0,0,0,0,0
678,YAR,Yemen North,1948,0,0,0,0,0,0,0,0,0
345,YUG,Yugoslavia,1948,0,0,0,0,0,0,0,0,0
700,AFG,Afghanistan,1949,0,0,0,0,0,0,0,0,0
339,ALB,Albania,1949,0,0,0,0,0,0,0,0,0
160,ARG,Argentina,1949,0,0,0,0,0,0,0,0,0
900,AUL,Australia,1949,0,0,0,0,0,0,0,0,0
305,AUS,Austria,1949,0,0,0,0,0,0,0,0,0
211,BEL,Belgium,1949,0,0,0,0,0,0,0,0,0
760,BHU,Bhutan,1949,0,0,0,0,0,0,0,0,0
145,BOL,Bolivia,1949,0,0,0,0,0,0,0,0,0
140,BRA,Brazil,1949,0,0,0,0,0,0,0,0,0
355,BUL,Bulgaria,1949,0,0,0,0,0,0,0,0,0
20,CAN,Canada,1949,0,0,0,0,0,0,0,0,0
155,CHL,Chile,1949,0,0,0,0,0,0,0,0,0
710,CHN,China,1949,0,0,0,0,0,0,0,0,0
100,COL,Colombia,1949,0,0,0,0,0,0,0,0,0
94,COS,Costa Rica,1949,0,0,0,0,0,0,0,0,0
40,CUB,Cuba,1949,0,0,0,0,0,0,0,0,0
315,CZE,Czechoslovakia,1949,0,0,1,0,0,0,0,0,0
390,DEN,Denmark,1949,0,0,0,0,0,0,0,0,0
42,DOM,Dominican Republic,1949,0,0,0,0,0,0,0,0,0
130,ECU,Ecuador,1949,0,0,0,0,0,0,0,0,0
651,EGY,Egypt,1949,0,0,0,0,0,0,0,0,0
530,ETH,Ethiopia,1949,0,0,0,0,0,0,0,0,0
375,FIN,Finland,1949,0,0,0,0,0,0,0,0,0
220,FRN,France,1949,0,0,1,0,0,0,0,0,0
265,GDR,Germany East,1949,0,0,0,0,0,0,0,0,0
260,GFR,Germany West,1949,0,0,0,0,0,0,0,0,0
350,GRC,Greece,1949,0,0,0,0,0,0,0,0,0
90,GUA,Guatemala,1949,0,0,0,0,0,0,0,0,0
41,HAI,Haiti,1949,0,0,0,0,0,0,0,0,0
91,HON,Honduras,1949,0,0,0,0,0,0,0,0,0
310,HUN,Hungary,1949,0,0,0,1,0,0,0,0,0
850,INS,Indonesia,1949,0,0,0,0,0,0,0,0,0
205,IRE,Ireland,1949,0,0,0,0,0,0,0,0,0
630,IRN,Iran,1949,0,0,0,0,0,0,0,0,0
645,IRQ,Iraq,1949,0,0,0,0,0,0,0,0,0
666,ISR,Israel,1949,0,0,0,0,0,0,0,0,0
325,ITA,Italy,1949,0,0,0,0,0,0,0,0,0
663,JOR,Jordan,1949,0,0,0,0,0,0,0,0,0
740,JPN,Japan,1949,0,0,0,0,0,0,0,0,0
450,LBR,Liberia,1949,0,0,0,0,0,0,0,0,0
660,LEB,Lebanon,1949,0,0,1,0,0,0,0,0,0
212,LUX,Luxembourg,1949,0,0,0,0,0,0,0,0,0
70,MEX,Mexico,1949,0,0,0,0,0,0,0,0,0
712,MON,Mongolia,1949,0,0,0,0,0,0,0,0,0
775,MYA,Myanmar (Burma),1949,0,0,0,0,0,0,0,0,0
790,NEP,Nepal,1949,0,0,0,0,0,0,0,0,0
920,NEW,New Zealand,1949,0,0,0,0,0,0,0,0,0
93,NIC,Nicaragua,1949,0,0,0,0,0,0,0,0,0
385,NOR,Norway,1949,0,0,0,0,0,0,0,0,0
210,NTH,Netherlands,1949,0,0,0,0,0,0,0,0,0
698,OMA,Oman,1949,0,0,0,0,0,0,0,0,0
95,PAN,Panama,1949,1,0,0,0,0,0,0,0,0
150,PAR,Paraguay,1949,1,0,0,0,0,0,0,0,0
135,PER,Peru,1949,0,0,0,0,0,0,0,0,0
840,PHI,Philippines,1949,0,0,0,0,0,0,0,0,0
769,PKS,Pakistan,1949,0,0,0,0,0,0,0,0,0
290,POL,Poland,1949,0,0,0,0,0,0,0,0,0
235,POR,Portugal,1949,0,0,0,0,0,0,0,0,0
731,PRK,Korea North,1949,0,0,0,0,0,0,0,0,0
732,ROK,Korea South,1949,0,0,0,0,0,0,0,0,0
360,RUM,Romania,1949,0,0,0,0,0,0,0,0,0
560,SAF,South Africa,1949,0,0,0,0,0,0,0,0,0
92,SAL,El Salvador,1949,1,0,0,0,0,0,0,0,0
670,SAU,Saudi Arabia,1949,0,0,0,0,0,0,0,0,0
230,SPN,Spain,1949,0,0,0,0,0,0,0,0,0
780,SRI,Sri Lanka,1949,0,0,0,0,0,0,0,0,0
380,SWD,Sweden,1949,0,0,0,0,0,0,0,0,0
225,SWZ,Switzerland,1949,0,0,0,0,0,0,0,0,0
652,SYR,Syria,1949,2,0,0,0,0,0,0,0,0
713,TAW,Taiwan,1949,0,0,0,0,0,0,0,0,0
800,THI,Thailand,1949,0,1,0,0,0,0,0,0,0
640,TUR,Turkey,1949,0,0,0,0,0,0,0,0,0
200,UKG,United Kingdom,1949,0,0,0,0,0,0,0,0,0
165,URU,Uruguay,1949,0,0,0,0,0,0,0,0,0
2,USA,United States,1949,0,0,0,0,0,0,0,0,0
364,USR,USSR,1949,0,0,0,0,0,0,0,0,0
101,VEN,Venezuela,1949,0,0,0,0,0,0,0,0,0
678,YAR,Yemen North,1949,0,0,0,0,0,0,0,0,0
345,YUG,Yugoslavia,1949,0,0,0,0,0,0,0,0,0
700,AFG,Afghanistan,1950,0,0,0,0,0,0,0,0,0
339,ALB,Albania,1950,0,0,0,0,0,0,0,0,0
160,ARG,Argentina,1950,0,0,0,0,0,0,0,0,0
900,AUL,Australia,1950,0,0,0,0,0,0,0,0,0
305,AUS,Austria,1950,0,0,0,0,0,0,0,0,0
211,BEL,Belgium,1950,0,0,0,0,0,0,0,0,0
760,BHU,Bhutan,1950,0,0,0,0,0,0,0,0,0
145,BOL,Bolivia,1950,0,0,0,0,0,0,0,0,0
140,BRA,Brazil,1950,0,0,0,0,0,0,0,0,0
355,BUL,Bulgaria,1950,0,0,0,0,0,0,0,0,0
20,CAN,Canada,1950,0,0,0,0,0,0,0,0,0
155,CHL,Chile,1950,0,0,0,0,0,0,0,0,0
710,CHN,China,1950,0,0,0,0,0,0,0,0,0
100,COL,Colombia,1950,0,0,0,0,0,0,0,0,0
94,COS,Costa Rica,1950,0,0,0,0,0,0,0,0,0
40,CUB,Cuba,1950,0,0,0,0,0,0,0,0,0
315,CZE,Czechoslovakia,1950,0,0,1,0,0,0,0,0,0
390,DEN,Denmark,1950,0,0,0,0,0,0,0,0,0
42,DOM,Dominican Republic,1950,0,0,0,0,0,0,0,0,0
130,ECU,Ecuador,1950,0,0,0,0,0,0,0,0,0
651,EGY,Egypt,1950,0,0,0,0,0,0,0,0,0
530,ETH,Ethiopia,1950,0,0,0,0,0,0,0,0,0
375,FIN,Finland,1950,0,0,0,0,0,0,0,0,0
220,FRN,France,1950,0,0,0,0,0,0,0,0,0
265,GDR,Germany East,1950,0,0,0,0,0,0,0,0,0
260,GFR,Germany West,1950,0,0,0,0,0,0,0,0,0
350,GRC,Greece,1950,0,0,0,0,0,0,0,0,0
90,GUA,Guatemala,1950,0,0,0,0,0,0,0,0,0
41,HAI,Haiti,1950,1,0,0,0,0,0,0,0,0
91,HON,Honduras,1950,0,0,0,0,0,0,0,0,0
310,HUN,Hungary,1950,0,0,0,0,0,0,0,0,0
750,IND,India,1950,0,0,0,0,0,0,0,0,0
850,INS,Indonesia,1950,0,0,0,0,0,0,0,0,0
205,IRE,Ireland,1950,0,0,0,0,0,0,0,0,0
630,IRN,Iran,1950,0,0,0,0,0,0,0,0,0
645,IRQ,Iraq,1950,0,0,0,0,0,0,0,0,0
666,ISR,Israel,1950,0,0,0,0,0,0,0,0,0
325,ITA,Italy,1950,0,0,0,0,0,0,0,0,0
663,JOR,Jordan,1950,0,0,0,0,0,0,0,0,0
740,JPN,Japan,1950,0,0,0,0,0,0,0,0,0
450,LBR,Liberia,1950,0,0,0,0,0,0,0,0,0
660,LEB,Lebanon,1950,0,0,0,0,0,0,0,0,0
212,LUX,Luxembourg,1950,0,0,0,0,0,0,0,0,0
70,MEX,Mexico,1950,0,0,0,0,0,0,0,0,0
712,MON,Mongolia,1950,0,0,0,0,0,0,0,0,0
775,MYA,Myanmar (Burma),1950,0,0,0,0,0,0,0,0,0
790,NEP,Nepal,1950,0,0,1,0,0,0,0,0,0
920,NEW,New Zealand,1950,0,0,0,0,0,0,0,0,0
93,NIC,Nicaragua,1950,0,0,0,0,0,0,0,0,0
385,NOR,Norway,1950,0,0,0,0,0,0,0,0,0
210,NTH,Netherlands,1950,0,0,0,0,0,0,0,0,0
698,OMA,Oman,1950,0,0,0,0,0,0,0,0,0
95,PAN,Panama,1950,0,0,0,0,0,0,0,0,0
150,PAR,Paraguay,1950,0,0,0,0,0,0,0,0,0
135,PER,Peru,1950,0,0,0,0,0,0,0,0,0
840,PHI,Philippines,1950,0,0,0,0,0,0,0,0,0
769,PKS,Pakistan,1950,0,0,0,0,0,0,0,0,0
290,POL,Poland,1950,0,0,0,0,0,0,0,0,0
235,POR,Portugal,1950,0,0,0,0,0,0,0,0,0
731,PRK,Korea North,1950,0,0,0,0,0,0,0,0,0
732,ROK,Korea South,1950,0,0,0,0,0,0,0,0,0
360,RUM,Romania,1950,0,0,0,0,0,0,0,0,0
560,SAF,South Africa,1950,0,0,0,0,0,0,0,0,0
92,SAL,El Salvador,1950,0,0,0,0,0,0,0,0,0
670,SAU,Saudi Arabia,1950,0,0,0,0,0,0,0,0,0
230,SPN,Spain,1950,0,0,0,0,0,0,0,0,0
780,SRI,Sri Lanka,1950,0,0,0,0,0,0,0,0,0
380,SWD,Sweden,1950,0,0,0,0,0,0,0,0,0
225,SWZ,Switzerland,1950,0,0,0,0,0,0,0,0,0
652,SYR,Syria,1950,0,0,0,0,0,0,0,0,0
713,TAW,Taiwan,1950,0,0,0,0,0,0,0,0,0
800,THI,Thailand,1950,0,0,0,0,0,0,0,0,0
640,TUR,Turkey,1950,0,0,0,0,0,0,0,0,0
200,UKG,United Kingdom,1950,0,0,0,0,0,0,0,0,0
165,URU,Uruguay,1950,0,0,0,0,0,0,0,0,0
2,USA,United States,1950,0,0,0,0,0,0,0,0,0
364,USR,USSR,1950,0,0,0,0,0,0,0,0,0
101,VEN,Venezuela,1950,0,0,0,0,0,0,0,0,0
678,YAR,Yemen North,1950,0,0,0,0,0,0,0,0,0
345,YUG,Yugoslavia,1950,0,0,0,0,0,0,0,0,0
700,AFG,Afghanistan,1951,0,0,0,0,0,0,0,0,0
339,ALB,Albania,1951,0,0,0,0,0,0,0,0,0
160,ARG,Argentina,1951,0,1,0,0,0,0,0,0,0
900,AUL,Australia,1951,0,0,0,0,0,0,0,0,0
305,AUS,Austria,1951,0,0,0,0,0,0,0,0,0
211,BEL,Belgium,1951,0,0,0,0,0,0,0,0,0
760,BHU,Bhutan,1951,0,0,0,0,0,0,0,0,0
145,BOL,Bolivia,1951,0,0,0,0,1,0,0,0,0
140,BRA,Brazil,1951,0,0,0,0,0,0,0,0,0
355,BUL,Bulgaria,1951,0,0,0,0,0,0,0,0,0
20,CAN,Canada,1951,0,0,0,0,0,0,0,0,0
155,CHL,Chile,1951,0,0,0,0,0,0,0,0,0
710,CHN,China,1951,0,0,0,0,0,0,0,0,0
100,COL,Colombia,1951,0,0,0,0,0,0,0,0,0
94,COS,Costa Rica,1951,0,0,0,0,0,0,0,0,0
40,CUB,Cuba,1951,0,0,0,0,0,0,0,0,0
315,CZE,Czechoslovakia,1951,0,0,0,1,0,0,0,0,0
390,DEN,Denmark,1951,0,0,0,0,0,0,0,0,0
42,DOM,Dominican Republic,1951,0,0,0,0,0,0,0,0,0
130,ECU,Ecuador,1951,0,0,0,0,0,0,0,0,0
651,EGY,Egypt,1951,0,0,0,0,0,0,0,0,0
530,ETH,Ethiopia,1951,0,0,0,0,0,0,0,0,0
375,FIN,Finland,1951,0,0,0,0,0,0,0,0,0
220,FRN,France,1951,0,0,0,0,0,0,0,0,0
265,GDR,Germany East,1951,0,0,0,0,0,0,0,0,0
260,GFR,Germany West,1951,0,0,0,0,0,0,0,0,0
350,GRC,Greece,1951,0,1,0,0,0,0,0,0,0
90,GUA,Guatemala,1951,0,0,0,0,0,0,0,0,0
41,HAI,Haiti,1951,0,0,0,0,0,0,0,0,0
91,HON,Honduras,1951,0,0,0,0,0,0,0,0,0
310,HUN,Hungary,1951,0,0,0,0,0,0,0,0,0
750,IND,India,1951,0,0,0,0,0,0,0,0,0
850,INS,Indonesia,1951,0,0,0,0,0,0,0,0,0
205,IRE,Ireland,1951,0,0,0,0,0,0,0,0,0
630,IRN,Iran,1951,0,0,0,0,0,0,0,0,0
645,IRQ,Iraq,1951,0,0,0,0,0,0,0,0,0
666,ISR,Israel,1951,0,0,0,0,0,0,0,0,0
325,ITA,Italy,1951,0,0,0,0,0,0,0,0,0
663,JOR,Jordan,1951,0,0,0,0,1,0,0,0,0
740,JPN,Japan,1951,0,0,0,0,0,0,0,0,0
450,LBR,Liberia,1951,0,0,0,0,0,0,0,0,0
660,LEB,Lebanon,1951,0,0,0,0,0,0,0,0,0
620,LIB,Libya,1951,0,0,0,0,0,0,0,0,0
212,LUX,Luxembourg,1951,0,0,0,0,0,0,0,0,0
70,MEX,Mexico,1951,0,0,0,0,0,0,0,0,0
712,MON,Mongolia,1951,0,0,0,0,0,0,0,0,0
775,MYA,Myanmar (Burma),1951,0,0,0,0,0,0,0,0,0
790,NEP,Nepal,1951,0,0,0,0,0,0,0,0,0
920,NEW,New Zealand,1951,0,0,0,0,0,0,0,0,0
93,NIC,Nicaragua,1951,0,0,0,0,0,0,0,0,0
